STT,long,lat
218,103.66528900,22.77178680
219,103.66545260,22.77128480
220,103.66549130,22.77118200
221,103.66553310,22.77110670
222,103.66607760,22.77030290
223,103.66627340,22.77002840
224,103.66640210,22.76982810
225,103.66660330,22.76947690
226,103.66669020,22.76934190
227,103.66678830,22.76922960
228,103.66689030,22.76914790
229,103.66731400,22.76883140
230,103.66742940,22.76872260
231,103.66751520,22.76863100
232,103.66760100,22.76852960
233,103.66773520,22.76828970
234,103.66778880,22.76821060
235,103.66785380,22.76814490
236,103.66797120,22.76806470
237,103.66812940,22.76797560
238,103.66829040,22.76789160
239,103.66852910,22.76777530
240,103.66869810,22.76769860
241,103.66911650,22.76753050
242,103.66927740,22.76744880
243,103.66938740,22.76738210
244,103.66949210,22.76730690
245,103.66962340,22.76720150
246,103.66971520,22.76710870
247,103.66976290,22.76702840
248,103.66978700,22.76691220
249,103.66979510,22.76679840
250,103.66979240,22.76668710
251,103.66975750,22.76641010
252,103.66976020,22.76635070
253,103.66977570,22.76631070
254,103.66980310,22.76627650
255,103.66984070,22.76625060
256,103.66989170,22.76622340
257,103.66994400,22.76620980
258,103.66999550,22.76620070
259,103.67004190,22.76620850
260,103.67009150,22.76623330
261,103.67013980,22.76627040
262,103.67035570,22.76650280
263,103.67042540,22.76656840
264,103.67048710,22.76661780
265,103.67055550,22.76665640
266,103.67062120,22.76667600
267,103.67068560,22.76668210
268,103.67075130,22.76667600
269,103.67082640,22.76665620
270,103.67089480,22.76662900
271,103.67108390,22.76652140
272,103.67114960,22.76648800
273,103.67122740,22.76645830
274,103.67131720,22.76642990
275,103.67141920,22.76640270
276,103.67162700,22.76636800
277,103.67208300,22.76626420
278,103.67228100,22.76620360
279,103.67262480,22.76609850
280,103.67335710,22.76584620
281,103.67360920,22.76569530
282,103.67415370,22.76549000
283,103.67460300,22.76535030
284,103.67591590,22.76498550
285,103.67634640,22.76485810
286,103.67690560,22.76470230
287,103.67713630,22.76466770
288,103.67742330,22.76463920
289,103.67766870,22.76459840
290,103.67798390,22.76447720
291,103.67826690,22.76436350
292,103.67844920,22.76427940
293,103.67858870,22.76419650
294,103.67875770,22.76406670
295,103.67892940,22.76390720
296,103.67907960,22.76376120
297,103.67953020,22.76339520
298,103.67990700,22.76310460
299,103.68031470,22.76277310
300,103.68064460,22.76247880
301,103.68079750,22.76229460
302,103.68099870,22.76200640
303,103.68110330,22.76176030
304,103.68114350,22.76152290
305,103.68119450,22.76111230
306,103.68123740,22.76062510
307,103.68127230,22.76015270
308,103.68136120,22.75984130
309,103.68176210,22.75850450
310,103.68183820,22.75821600
311,103.68189450,22.75803790
312,103.68215970,22.75742580
313,103.68230220,22.75704360
314,103.68235590,22.75684820
315,103.68238380,22.75657740
316,103.68238810,22.75601470
317,103.68240420,22.75569310
318,103.68243190,22.75543750
319,103.68248200,22.75497510
320,103.68251140,22.75483730
321,103.68282260,22.75419420
322,103.68306400,22.75375640
323,103.68314440,22.75364260
324,103.68333760,22.75341260
325,103.68397910,22.75258900
326,103.68405100,22.75246770
327,103.68415830,22.75233910
328,103.68431390,22.75225010
329,103.68455530,22.75216100
330,103.68468940,22.75207690
331,103.68485850,22.75190670
332,103.68495760,22.75177020
333,103.68502740,22.75158220
334,103.68507030,22.75136950
335,103.68507030,22.75117160
336,103.68509710,22.75103810
337,103.68517760,22.75092920
338,103.68527950,22.75089460
339,103.68567400,22.75091710
340,103.68577570,22.75091440
341,103.68619890,22.75072550
342,103.68635240,22.75064720
343,103.68646230,22.75055820
344,103.68671710,22.75021680
345,103.68682710,22.75013520
346,103.68704710,22.75004860
347,103.68721600,22.74999420
348,103.68730720,22.74994970
349,103.68810650,22.74934120
350,103.68831310,22.74916810
351,103.68844450,22.74908150
352,103.68887630,22.74888610
353,103.68905550,22.74876370
354,103.68939940,22.74850020
355,103.68979910,22.74813240
356,103.68991620,22.74803330
357,103.69024060,22.74780910
358,103.69072120,22.74753640
359,103.69208160,22.74667470
360,103.69282720,22.74617500
361,103.69335310,22.74591650
362,103.69338820,22.74590190
363,103.69347500,22.74586580
364,103.69359030,22.74583490
365,103.69368520,22.74582260
366,103.69408930,22.74580260
367,103.69424870,22.74579470
368,103.69432520,22.74578540
369,103.69439900,22.74577180
370,103.69484960,22.74563210
371,103.69497030,22.74561350
372,103.69592380,22.74560980
373,103.69658230,22.74558380
374,103.69710800,22.74560860
375,103.69720060,22.74560610
376,103.69731720,22.74559130
377,103.69794670,22.74546620
378,103.69804550,22.74545520
379,103.69815810,22.74544900
380,103.69855780,22.74543790
381,103.69874690,22.74542430
382,103.69918670,22.74533650
383,103.70020870,22.74508170
384,103.70060160,22.74496300
385,103.70137810,22.74460430
386,103.70183410,22.74440140
387,103.70215330,22.74422330
388,103.70239470,22.74404280
389,103.70260920,22.74384490
390,103.70266440,22.74375120
391,103.70269500,22.74364710
392,103.70269510,22.74355050
393,103.70269960,22.74350480
394,103.70271120,22.74338720
395,103.70275140,22.74328090
396,103.70284260,22.74319680
397,103.70298210,22.74313740
398,103.70315640,22.74311510
399,103.70330460,22.74308620
400,103.70348900,22.74299390
401,103.70365800,22.74281090
402,103.70377060,22.74265260
403,103.70381360,22.74253140
404,103.70382100,22.74246180
405,103.70382700,22.74228400
406,103.70383770,22.74215780
407,103.70384570,22.74210340
408,103.70386990,22.74204400
409,103.70391550,22.74197850
410,103.70403750,22.74188080
411,103.70423470,22.74181280
412,103.70450960,22.74175460
413,103.70464640,22.74170390
414,103.70474160,22.74165070
415,103.70532900,22.74113620
416,103.70559990,22.74088880
417,103.70618460,22.74025310
418,103.70647160,22.74002040
419,103.70712340,22.73933290
420,103.70754210,22.73893130
421,103.70776760,22.73868900
422,103.70795740,22.73841200
423,103.70843230,22.73780660
424,103.70895800,22.73717820
425,103.70915920,22.73690360
426,103.70927320,22.73675770
427,103.70940400,22.73660060
428,103.71032600,22.73568410
429,103.71047210,22.73554800
430,103.71063750,22.73540030
